item_id,date,sales_units
ITEM-0001,2023-01-01,503
ITEM-0001,2023-02-01,578
ITEM-0001,2023-03-01,597
ITEM-0001,2023-04-01,596
ITEM-0001,2023-05-01,517
ITEM-0001,2023-06-01,627
ITEM-0001,2023-07-01,644
ITEM-0001,2023-08-01,571
ITEM-0001,2023-09-01,678
ITEM-0001,2023-10-01,619
ITEM-0001,2023-11-01,696
ITEM-0001,2023-12-01,696
ITEM-0001,2024-01-01,634
ITEM-0001,2024-02-01,803
ITEM-0001,2024-03-01,629
ITEM-0001,2024-04-01,689
ITEM-0001,2024-05-01,771
ITEM-0001,2024-06-01,593
ITEM-0001,2024-07-01,531
ITEM-0001,2024-08-01,541
ITEM-0001,2024-09-01,530
ITEM-0001,2024-10-01,467
ITEM-0001,2024-11-01,458
ITEM-0001,2024-12-01,569
ITEM-0001,2025-01-01,620
ITEM-0001,2025-02-01,744
ITEM-0001,2025-03-01,677
ITEM-0001,2025-04-01,637
ITEM-0001,2025-05-01,645
ITEM-0001,2025-06-01,649
ITEM-0001,2025-07-01,654
ITEM-0001,2025-08-01,532
ITEM-0001,2025-09-01,508
ITEM-0002,2023-01-01,110
ITEM-0002,2023-02-01,78
ITEM-0002,2023-03-01,142
ITEM-0002,2023-04-01,134
ITEM-0002,2023-05-01,151
ITEM-0002,2023-06-01,195
ITEM-0002,2023-07-01,156
ITEM-0002,2023-08-01,152
ITEM-0002,2023-09-01,124
ITEM-0002,2023-10-01,125
ITEM-0002,2023-11-01,94
ITEM-0002,2023-12-01,95
ITEM-0002,2024-01-01,146
ITEM-0002,2024-02-01,90
ITEM-0002,2024-03-01,120
ITEM-0002,2024-04-01,127
ITEM-0002,2024-05-01,123
ITEM-0002,2024-06-01,143
ITEM-0002,2024-07-01,142
ITEM-0002,2024-08-01,101
ITEM-0002,2024-09-01,116
ITEM-0002,2024-10-01,82
ITEM-0002,2024-11-01,146
ITEM-0002,2024-12-01,108
ITEM-0002,2025-01-01,113
ITEM-0002,2025-02-01,137
ITEM-0002,2025-03-01,130
ITEM-0002,2025-04-01,167
ITEM-0002,2025-05-01,132
ITEM-0002,2025-06-01,184
ITEM-0002,2025-07-01,160
ITEM-0002,2025-08-01,97
ITEM-0002,2025-09-01,112
ITEM-0003,2023-01-01,149
